feature_name,description,sdss_column,decals_column,hst_column,ukidss_column
smooth_or_features_smooth,"Is the galaxy smooth and rounded, or does it have features? - smooth",t01_smooth_or_features_a01_smooth_fraction,smooth-or-featured_smooth_fraction,t01_smooth_or_features_a01_smooth_fraction,smooth-or-featured-ukidss_smooth_fraction
smooth_or_features_features_disk,"Is the galaxy smooth and rounded, or does it have features? - features_disk",t01_smooth_or_features_a02_features_or_disk_fraction,smooth-or-featured_featured-or-disk_fraction,t01_smooth_or_features_a02_features_or_disk_fraction,smooth-or-featured-ukidss_featured-or-disk_fraction
smooth_or_features_artifact,"Is the galaxy smooth and rounded, or does it have features? - artifact",t01_smooth_or_features_a03_star_or_artifact_fraction,smooth-or-featured_artifact_fraction,t01_smooth_or_features_a03_star_or_artifact_fraction,smooth-or-featured-ukidss_artifact_fraction
edge_on_yes,Could this be a disk viewed edge-on? - yes,t02_edgeon_a04_yes_fraction,disk-edge-on_yes_fraction,t02_edgeon_a01_yes_fraction,disk-edge-on-ukidss_yes_fraction
edge_on_no,Could this be a disk viewed edge-on? - no,t02_edgeon_a05_no_fraction,disk-edge-on_no_fraction,t02_edgeon_a02_no_fraction,disk-edge-on-ukidss_no_fraction
bar_yes,Is there a bar feature through the center? - yes,t03_bar_a06_bar_fraction,bar_yes_fraction,t03_bar_a01_bar_fraction,bar-ukidss_yes_fraction
bar_no,Is there a bar feature through the center? - no,t03_bar_a07_no_bar_fraction,bar_no_fraction,t03_bar_a02_no_bar_fraction,bar-ukidss_no_fraction
spiral_arms_yes,Is there any sign of a spiral arm pattern? - yes,t04_spiral_a08_spiral_fraction,has-spiral-arms_yes_fraction,t04_spiral_a01_spiral_fraction,has-spiral-arms-ukidss_yes_fraction
spiral_arms_no,Is there any sign of a spiral arm pattern? - no,t04_spiral_a09_no_spiral_fraction,has-spiral-arms_no_fraction,t04_spiral_a02_no_spiral_fraction,has-spiral-arms-ukidss_no_fraction
bulge_size_none,How prominent is the central bulge? - none,t05_bulge_prominence_a10_no_bulge_fraction,bulge-size_none_fraction,t05_bulge_prominence_a01_no_bulge_fraction,bulge-size-ukidss_no_fraction
bulge_size_obvious,How prominent is the central bulge? - obvious,t05_bulge_prominence_a12_obvious_fraction,bulge-size_obvious_fraction,t05_bulge_prominence_a03_obvious_fraction,bulge-size-ukidss_obvious_fraction
bulge_size_dominant,How prominent is the central bulge? - dominant,t05_bulge_prominence_a13_dominant_fraction,bulge-size_dominant_fraction,t05_bulge_prominence_a04_dominant_fraction,bulge-size-ukidss_dominant_fraction
rounded_completely_round,How rounded is the galaxy? - completely_round,t07_rounded_a16_completely_round_fraction,how-rounded_completely_fraction,t07_rounded_a01_completely_round_fraction,how-rounded-ukidss_round_fraction
rounded_in_between,How rounded is the galaxy? - in_between,t07_rounded_a17_in_between_fraction,how-rounded_in-between_fraction,t07_rounded_a02_in_between_fraction,how-rounded-ukidss_in-between_fraction
rounded_cigar_shaped,How rounded is the galaxy? - cigar_shaped,t07_rounded_a18_cigar_shaped_fraction,how-rounded_cigar-shaped_fraction,t07_rounded_a03_cigar_shaped_fraction,how-rounded-ukidss_cigar_fraction
spiral_winding_tight,How tightly wound are the spiral arms? - tight,t10_arms_winding_a28_tight_fraction,spiral-winding_tight_fraction,t10_arms_winding_a01_tight_fraction,spiral-winding-ukidss_tight_fraction
spiral_winding_medium,How tightly wound are the spiral arms? - medium,t10_arms_winding_a29_medium_fraction,spiral-winding_medium_fraction,t10_arms_winding_a02_medium_fraction,spiral-winding-ukidss_medium_fraction
spiral_winding_loose,How tightly wound are the spiral arms? - loose,t10_arms_winding_a30_loose_fraction,spiral-winding_loose_fraction,t10_arms_winding_a03_loose_fraction,spiral-winding-ukidss_loose_fraction
spiral_count_1,How many spiral arms can you count? - 1,t11_arms_number_a31_1_fraction,spiral-arm-count_1_fraction,t11_arms_number_a01_1_fraction,spiral-arm-count-ukidss_1_fraction
spiral_count_2,How many spiral arms can you count? - 2,t11_arms_number_a32_2_fraction,spiral-arm-count_2_fraction,t11_arms_number_a02_2_fraction,spiral-arm-count-ukidss_2_fraction
spiral_count_3,How many spiral arms can you count? - 3,t11_arms_number_a33_3_fraction,spiral-arm-count_3_fraction,t11_arms_number_a03_3_fraction,spiral-arm-count-ukidss_3_fraction
spiral_count_4,How many spiral arms can you count? - 4,t11_arms_number_a34_4_fraction,spiral-arm-count_4_fraction,t11_arms_number_a04_4_fraction,spiral-arm-count-ukidss_4_fraction
spiral_count_more_than_4,How many spiral arms can you count? - more_than_4,t11_arms_number_a36_more_than_4_fraction,spiral-arm-count_more-than-4_fraction,t11_arms_number_a05_more_than_4_fraction,spiral-arm-count-ukidss_more-than-4_fraction
bulge_shape_rounded,What shape is the edge-on bulge? - rounded,t09_bulge_shape_a25_rounded_fraction,edge-on-bulge_rounded_fraction,t09_bulge_shape_a01_rounded_fraction,bulge-shape-ukidss_round_fraction
bulge_shape_boxy,What shape is the edge-on bulge? - boxy,t09_bulge_shape_a26_boxy_fraction,edge-on-bulge_boxy_fraction,t09_bulge_shape_a02_boxy_fraction,bulge-shape-ukidss_boxy_fraction
bulge_shape_no_bulge,What shape is the edge-on bulge? - no_bulge,t09_bulge_shape_a27_no_bulge_fraction,edge-on-bulge_none_fraction,t09_bulge_shape_a03_no_bulge_fraction,bulge-shape-ukidss_no-bulge_fraction
